t (s), x (mm), y (mm), theta (rad), v (mm/s), omega (rad/s)
2.6, 995, 210, 2.495383525955429, 62.507999999999996, 0.0003835069006732131
2.61, 994, 210, 2.495287649230261, 62.507999999999996, 0.0
2.63, 993, 211, 2.4955752794057657, 62.507999999999996, 0.00019175345033660654
2.64, 993, 211, 2.4951917725050925, 62.507999999999996, 0.00019175345033660654
2.65, 992, 211, 2.495287649230261, 62.507999999999996, -9.587672516830327e-05
2.67, 991, 212, 2.4949041423295872, 62.507999999999996, 0.0
2.68, 991, 213, 2.4951917725050925, 62.507999999999996, 0.0003835069006732131
2.69, 990, 213, 2.4955752794057657, 62.507999999999996, 0.0
2.7, 990, 213, 2.4957670328561026, 62.507999999999996, 0.0
2.74, 988, 215, 2.496342293207112, 62.507999999999996, 0.0002876301755049098
2.75, 987, 215, 2.4955752794057657, 62.507999999999996, 0.0
2.76, 987, 216, 2.495287649230261, 62.507999999999996, 0.0003835069006732131
2.77, 986, 216, 2.495287649230261, 62.507999999999996, 0.0
2.7800000000000002, 986, 216, 2.4955752794057657, 62.507999999999996, 0.0
2.79, 985, 217, 2.4960546630316074, 62.507999999999996, 0.00019175345033660654
2.8, 985, 217, 2.4967258001077854, 62.507999999999996, 0.00019175345033660654
2.81, 984, 217, 2.4970134302832903, 62.507999999999996, -9.587672516830327e-05
2.82, 984, 218, 2.4973969371839635, 62.507999999999996, 0.00019175345033660654
2.83, 983, 218, 2.4975886906343, 62.507999999999996, -9.587672516830327e-05
2.84, 983, 219, 2.497301060458795, 62.507999999999996, 0.0003835069006732131
2.85, 982, 219, 2.497205183733627, 62.507999999999996, 0.0
2.86, 982, 219, 2.4971093070084587, 62.507999999999996, 0.0
2.87, 981, 220, 2.4971093070084587, 62.507999999999996, 9.587672516830327e-05
2.89, 980, 220, 2.497205183733627, 62.507999999999996, -0.00019175345033660654
2.91, 979, 221, 2.4973969371839635, 62.507999999999996, -9.587672516830327e-05
2.93, 978, 222, 2.549074492049679, 62.507999999999996, -0.0021092879537026716
2.94, 978, 222, 2.548786861874174, 62.507999999999996, -0.0021092879537026716
2.95, 977, 223, 2.5491703687748473, 62.507999999999996, -0.0019175345033660652
2.96, 977, 223, 2.549074492049679, 62.507999999999996, -0.0019175345033660652
2.9699999999999998, 976, 223, 2.5484992316986688, 62.507999999999996, -0.0023010414040392784
2.99, 975, 217, 2.546869327370808, 62.507999999999996, -0.0059443569604348025
3.01, 968, 218, 2.544664162691937, 62.507999999999996, -0.0088206587154839
3.02, 968, 218, 2.5429383816389075, 62.507999999999996, -0.0088206587154839
3.03, 967, 218, 2.5403497100593633, 62.507999999999996, -0.009204165616157113
3.04, 967, 219, 2.5368981479533046, 62.507999999999996, -0.008533028539978992
3.05, 966, 219, 2.5331589556717407, 62.507999999999996, -0.009012412165820508
3.06, 966, 219, 2.528460996138494, 62.507999999999996, -0.0088206587154839
3.07, 965, 220, 2.522900146078732, 62.507999999999996, -0.008533028539978992
3.1, 964, 221, 2.501232006190696, 62.507999999999996, -0.007766014738632564
3.11, 963, 221, 2.4947123888792513, 62.507999999999996, -0.008149521639305778
3.12, 963, 222, 2.4888639086439843, 62.507999999999996, -0.007286631112791048
3.13, 962, 222, 2.4840700723855695, 62.507999999999996, -0.007766014738632564
3.15, 961, 223, 2.475153536944917, 62.507999999999996, -0.007478384563127654
3.16, 961, 223, 2.4705514541368387, 62.507999999999996, -0.007286631112791048
3.17, 960, 224, 2.4653741109777503, 62.507999999999996, -0.007190754387622745
3.18, 960, 224, 2.4606761514445035, 62.507999999999996, -0.0069990009372861385
3.22, 958, 226, 2.442267820212189, 62.507999999999996, -0.006327863861108016
3.24, 957, 226, 2.4322007640695174, 62.507999999999996, -0.006615494036612926
3.25, 956, 227, 2.4275028045362705, 62.507999999999996, 0.08571379230046311
3.26, 956, 227, 2.423284228628865, 62.507999999999996, 0.08590554575079973
3.2800000000000002, 955, 228, 2.416381104416747, 62.507999999999996, 0.060689967031535966
3.29, 955, 228, 2.4167646113174204, 62.507999999999996, 0.060594090306367664
3.3, 954, 229, 2.4202161734234795, 62.507999999999996, 0.060689967031535966
3.31, 954, 229, 2.428365695062785, 62.507999999999996, 0.06030646013086276
3.32, 954, 229, 2.520311474499188, 62.507999999999996, 0.056471391124130625
3.33, 954, 229, 2.5335424625724134, 62.507999999999996, 0.055896130773120806
3.34, 953, 229, 2.5477322178973227, 62.507999999999996, 0.055320870422110986
3.35, 953, 226, 2.563264247374588, 62.507999999999996, 0.05417034972009135
3.36, 953, 227, 2.5793715372028627, 62.507999999999996, 0.05369096609424983
3.37, 949, 227, 2.59873863568686, 62.507999999999996, 0.0528280755677351
